Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Brachybacterium faecium Collins et al. (ATCC 43885D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Brachybacterium faecium strain NCIB 9860 [ATCC 43885],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43885D-5.ashx,,,,
Chitinophaga pinensis Sangkhobol and Skerman (ATCC 43595D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Chitinophaga pinensis strain UQM 2034 [ATCC 43595],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43595D-5.ashx,,,,
"Saccharophagus degradans Ekborg et al. 2005, sp. nov. (ATCC 43961D-5)",$550.00 ,$550.00 ,seqeunce available,Microbulbifer degradans,Genomic DNA from Saccharophagus degradans strain 2-40 [ATCC 43961],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43961D-5.ashx,,,,
Acidothermus cellulolyticus Mohagheghi et al. (ATCC 43068D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Acidothermus cellulolyticus strain 11B [ATCC 43068],1,freeze-dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43068D-5.ashx,,,,
Rhodothermus marinus Alfredsson et al. (ATCC 43812D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Rhodothermus marinus strain R-10 [ATCC 43812],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43812D-5.ashx,,,,
Planctomyces limnophilus Hirsch and Muller (ATCC 43296D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Planctomyces limnophilus strain 290 [ATCC 43296],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43296D-5.ashx,,,,
Cupriavidus metallidurans (Goris et al.) Vandamme and Coenye (ATCC 43123D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Cupriavidus metallidurans strain CH34 [ATCC 43123],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43123D-5.ashx,,,,
Haloarcula marismortui (ex Volcani) Oren et al. (ATCC 43049D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Haloarcula marismortui strain DSM 3752 [ATCC 43049],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/43049D-5.ashx,,,,
Moorella thermoacetica (Fontaine et al.) Collins et al. (ATCC 39073D-5),$550.00 ,$550.00 ,seqeunce available,Clostridium thermoaceticum Fontaine et al.,Genomic DNA from Moorella thermoacetica [ATCC 39073],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/39073D-5.ashx,,,,
Porphyromonas endodontalis (van Steenbergen et al.) Shah and Collins (ATCC 35406D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Porphyromonas endodontalis strain HG 370 [ATCC 35406],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35406D-5.ashx,,,,
Listeria welshimeri Rocourt and Grimont (ATCC 35897D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Listeria welshimeri strain V8 [ATCC 35897],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35897D-5.ashx,,,,
Natronomonas pharaonis (Soliman and Trueper) Kamekura et al. (ATCC 35678D-5),$550.00 ,$550.00 ,NA,Halobacterium pharaonis Soliman and Trueper,Genomic DNA from Natronomonas pharaonis strain DSM 2160 [ATCC 35678],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35678D-5.ashx,,,,
Roseobacter denitrificans Shiba (ATCC 33942D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Roseobacter denitrificans strain OCh 114 [ATCC 33942],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33942D-5.ashx,,,,
Clostridium beijerinckii Donker emend. Keis et al. (ATCC 35702D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Clostridium beijerinckii strain SA-1 [ATCC 35702],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/35702D-5.ashx,,,,
Methanococcus vannielii Stadtman and Barker (ATCC 35089D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Methanococcus vannielii strain SB [ATCC 35089],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35089D-5.ashx,,,,
Xanthomonas campestris (Pammel) Dowson pathovar campestris (ATCC 33913D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Xanthomonas campestris pathovar campestris strain NCPPB 528 [ATCC 33913],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33913D-5.ashx,,,,
Sulfurimonas denitrificans (ATCC 33889D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from strain DSM 1251 (ATCC 33889),1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33889D-5.ashx,,,,
Sulfolobus acidocaldarius Brock et al. (ATCC 33909D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from strain 98-3 [ATCC 33909],1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33909D-5.ashx,,,,
Methanoculleus marisnigri (Romesser et al.) Maestrojuan et al. (ATCC 35101D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Methanoculleus marisnigri strain JR1 [ATCC 35101],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/35101D-5.ashx,,,,
Synechococcus elongatus Nageli (ATCC 33912D-5),$550.00 ,$550.00 ,seqeunce available,Anacystis nidulans,Genomic DNA from Synechococcus elongatus strain PCC 7942 [ATCC 33912],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33912D-5.ashx,,,,
Capnocytophaga gingivalis Leadbetter emend. London et al. (ATCC 33624D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Capnocytophaga gingivalis [ATCC 33624],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33624D-5.ashx,,,,
Cytophaga hutchinsonii Winogradsky (ATCC 33406D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Cytophaga hutchinsonii strain NCIB 9469 [ATCC 33406],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33406D-5.ashx,,,,
Weissella paramesenteroides (Garvie) Collins et al. (ATCC 33313D),$550.00 ,$550.00 ,NA,NA,Genomic DNA from NCDO 803 [ATCC 33313],1,dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33313D.ashx,,,,
Sebaldella termitidis (Sebald) Collins and Shah (ATCC 33386D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Sebaldella termitidis strain NCTC 11300 [ATCC 33386],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33386D-5.ashx,,,,
Mesoplasma florum (McCoy et al.) Tully et al. (ATCC 33453D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Mesoplasma florum strain L1 [ATCC 33453],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33453D-5.ashx,,,,
Zymomonas mobilis (Lindner) Kluyver and van Niel (ATCC 31821D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Zymomonas mobilis strain ZM4 [ATCC 31821],1,"dried Total DNA:  At least 5 ug in 1X TE buffer, dried.OD260/OD280: 1.6 to 2.0",NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/31821D-5.ashx,,,,
Thermoanaerobacter pseudethanolicus (ATCC 33223D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from strain 39E (ATCC 33223),1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33223D-5.ashx,,,,
Renibacterium salmoninarum Sanders and Fryer (ATCC 33209D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Renibacterium salmoninarum strain Lea-1-74 [ATCC 33209],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33209D-5.ashx,,,,
Haloferax volcanii (Mullakhanbhai and Larsen) Torreblanca et al. (ATCC 29605D),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Haloferax volcanii strain DS2 [ATCC 29605],1,frozen Concentration:??200 ng/uLVolume: 50 uLTotal DNA: 10 ug,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/29605D.ashx,,,,
Wolinella succinogenes (Wolin et al.) Tanner et al. (ATCC 29543D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from FDC 602W (ATCC 29543),1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/29543D-5.ashx,,,,
Trichormus variabilis Komarek and Anagnostidis (ATCC 29413D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Trichormus variabilis [ATCC 29413],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/29413D-5.ashx,,,,
Gloeobacter violaceus Rippka et al. (ATCC 29082D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Gloeobacter violaceus strain PCC 7421 [ATCC 29082],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/29082D-5.ashx,,,,
Nostoc sp. (ATCC 27893D-5),$550.00 ,$550.00 ,NA,Anabaena sp.,Genomic DNA from Nostoc sp. strain PCC 7120 [ATCC 27893],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27893D-5.ashx,,,,
Methanospirillum hungatei corrig. Ferry et al. 1974 (ATCC 27890D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Methanospirillum hungatei strain JF-1 [ATCC 27890],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27890D-5.ashx,,,,
Methylobacterium radiotolerans (Ito and Iizuka) Green and Bousfield (ATCC 27329D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Methylobacterium radiotolerans strain O-1 [ATCC 27329],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27329D-5.ashx,,,,
Synechococcus sp. (ATCC 27264D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from strain PR-6 (ATCC 27264),1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27264D-5.ashx,,,,
Actinobacillus pleuropneumoniae (Shope) Pohl et al. (ATCC 27088D),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Actinobacillus pleuropneumoniae strain 4074 [ATCC 27088],1,frozen Concentration: 200 ng/uLVolume: 50 uLTotal DNA:??10 ug,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27088D.ashx,,,,
Actinobacillus pleuropneumoniae (Shope) Pohl et al. (ATCC 27088D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Actinobacillus pleuropneumoniae 4074 [ATCC 27088],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27088D-5.ashx,,,,
Thermoplasma acidophilum Darland et al. (ATCC 25905D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Thermoplasma acidophilum strain 122-1B2 [ATCC 25905],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25905D-5.ashx,,,,
Pediococcus pentosaceus Mees (ATCC 25745D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Pediococcus pentosaceus strain 183-1w [ATCC 25745],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25745D-5.ashx,,,,
Gordonia bronchialis (Tsukamura) Stackebrandt et al. (ATCC 25592D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Gordonia bronchialis strain 3410 (Ohba) [ATCC 25592],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25592D-5.ashx,,,,
Geodermatophilus obscurus Luedemann (ATCC 25078D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Geodermatophilus obscurus strain D-20 [ATCC 25078],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25078D-5.ashx,,,,
Thermomonospora curvata Henssen (ATCC 19995D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from strain B9 (ATCC 19995),1,freeze-dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/19995D-5.ashx,,,,
Caulobacter vibrioides Henrici and Johnson (ATCC 19089D-5),"For-Profit:
$402.00",,seqeunce available,Caulobacter crescentus Poindexter,Genomic DNA from Caulobacter vibrioides strain CB15 [ATCC 19089],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/19089D-5.ashx,,,,
Cupriavidus necator Makkar and Casida (ATCC 17699D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Cupriavidus necator strain 337 [ATCC 17699],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/17699D-5.ashx,,,,
Hyphomonas neptunium (Leifson) Moore et al. (ATCC 15444D-5),$550.00 ,$550.00 ,seqeunce available,Hyphomicrobium neptunium Leifson,Genomic DNA from Hyphomonas neptunium strain 14-15 [ATCC 15444],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/15444D-5.ashx,,,,
Jonesia denitrificans (Prevot) Rocourt et al. (ATCC 14870D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Jonesia denitrificans strain 55134 [ATCC 14870],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/14870D-5.ashx,,,,
Desulfovibrio salexigens Postgate and Campbell (ATCC 14822D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Desulfovibrio salexigens strain NCIB 8403 [ATCC 14822],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/14822D-5.ashx,,,,
Bacillus licheniformis (Weigmann) Chester (ATCC 14580D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Bacillus licheniformis Strain 46 [ATCC 14580],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/14580D-5.ashx,,,,
Streptosporangium roseum Couch (ATCC 12428D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from strain 27b (ATCC 12428),1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/12428D-5.ashx,,,,
Geobacter metallireducens Lovley et al. (ATCC 53774),$376.00 ,$319.60 ,seqeunce available,NA,GS-15 [DSM 7210],1,frozen,ATCC  1768: Geobacter metallireducens medium,"Temperature: 30Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/53774.ashx,,,,
Haemophilus influenzae (Lehmann and Neumann) Winslow et al. (ATCC 51907D-5),$336.00 ,$336.00 ,NA,NA,Genomic DNA from Haemophilus influenzae Strain  Rd [ATCC 51907],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/51907D-5.ashx,,,,
"NGS-Ready DNA from Enterococcus faecalis, strain OG1RF (ATCC 47077DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/47077DX.ashx,,,,
"NGS-Ready DNA from Lactobacillus acidophilus, strain Scav (ATCC 4356DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/4356DX.ashx,,,,
Bacteroides caccae Johnson et al. (ATCC 43185),$402.00 ,$341.70 ,NA,NA,"VPI 3452A [CIP 104201T, JCM 9498]",2,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/43185.ashx,,,,
Bacteroides stercoris Johnson et al. (ATCC 43183),$402.00 ,$341.70 ,NA,NA,"VPI B5-21 [CIP 104203T, JCM 9496, subsp. a]",2,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/43183.ashx,,,,
Amycolatopsis sp. (ATCC 39116),$376.00 ,$319.60 ,NA,Streptomyces setonii (Millard and Burr) Waksman,75iv2,1,freeze-dried,"ATCC  1877: ISP  1
ATCC  196: Yeast malt extract agar",Temperature: 26Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Degrades lignin,https://www.atcc.org/~/ps/39116.ashx,,,,
"NGS-Ready DNA from Escherichia coli, strain 1532 (ATCC 35218DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/35218DX.ashx,,,,
Ureaplasma urealyticum (ATCC 33699),$376.00 ,$319.60 ,NA,Ureaplasma urealyticum Shepard et al.,Western,2,freeze-dried,ATCC  2616: Ureaplasma  - Special Modified Formulation,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/33699.ashx,,,,
"NGS-Ready DNA from Lactobacillus johnsonii, strain VPI 7960 (ATCC 33200DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC??NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/33200DX.ashx,,,,
Finegoldia magna (Prevot) Murdoch and Shah (ATCC 29328),$67.00 ,$56.95 ,NA,Peptococcus magnus (Prevot) Holdeman and Moore,WAL2508 [DSM 20470],1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,NA,NA,Quality control strain,https://www.atcc.org/~/ps/29328.ashx,,,,
"NGS-Ready DNA from Pseudomonas aeruginosa, strain Boston 41501 (ATCC 27853DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/27853DX.ashx,,,,
Dorea formicigenerans (ATCC 27755),$402.00 ,$341.70 ,seqeunce available,Eubacterium formicigenerans Holdeman and Moore,VPI C8-13 [JCM 9500],1,frozen,"ATCC  158: RGCA
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/27755.ashx,,,,
